event_id,cap,stato_estero
SEND_ANALOG_DOMICILE.IUN_GYKD-MQDL-GRMW-202307-A-1.RECINDEX_0.ATTEMPT_0,20041,NA
SEND_ANALOG_DOMICILE.IUN_EHQD-EPLY-GUKR-202307-W-1.RECINDEX_0.ATTEMPT_0,61037,NA
SEND_ANALOG_DOMICILE.IUN_PRZH-WLYH-URTE-202307-X-1.RECINDEX_0.ATTEMPT_0,90145,NA
SEND_ANALOG_DOMICILE.IUN_PEAZ-LEPD-EULQ-202307-Q-1.RECINDEX_0.ATTEMPT_0,20070,NA
SEND_ANALOG_DOMICILE.IUN_WVQV-HLZG-JHJK-202307-W-1.RECINDEX_0.ATTEMPT_0,35043,NA
SEND_ANALOG_DOMICILE.IUN_JQXN-NWRT-PDUX-202307-A-1.RECINDEX_0.ATTEMPT_0,20016,NA
SEND_ANALOG_DOMICILE.IUN_JQXN-NWRT-PDUX-202307-A-1.RECINDEX_0.ATTEMPT_1,20016,NA
SEND_ANALOG_DOMICILE.IUN_XDXY-GKYQ-KLKL-202307-G-1.RECINDEX_0.ATTEMPT_0,20067,NA
SEND_ANALOG_DOMICILE.IUN_XDXY-GKYQ-KLKL-202307-G-1.RECINDEX_0.ATTEMPT_1,19032,NA
SEND_ANALOG_DOMICILE.IUN_JNQR-MATL-RZQN-202307-E-1.RECINDEX_0.ATTEMPT_0,70024,NA
SEND_ANALOG_DOMICILE.IUN_JYJM-RKRD-YRMY-202307-N-1.RECINDEX_0.ATTEMPT_0,26856,NA
SEND_ANALOG_DOMICILE.IUN_QAMK-EUWA-JZKL-202307-A-1.RECINDEX_0.ATTEMPT_0,80046,NA
SEND_ANALOG_DOMICILE.IUN_EVDP-WJMA-MNWE-202307-Y-1.RECINDEX_0.ATTEMPT_0,47922,NA
SEND_ANALOG_DOMICILE.IUN_QZXH-JWYZ-RQUX-202307-N-1.RECINDEX_0.ATTEMPT_0,20831,NA
SEND_ANALOG_DOMICILE.IUN_LNXV-VDTN-MVEH-202307-D-1.RECINDEX_0.ATTEMPT_0,30031,ITALIA
SEND_ANALOG_DOMICILE.IUN_RGHP-ZAPM-YQMP-202307-Z-1.RECINDEX_0.ATTEMPT_0,95045,NA
SEND_ANALOG_DOMICILE.IUN_LXQL-KNGN-KRTK-202307-R-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_QEXM-NJKZ-QMNR-202307-G-1.RECINDEX_0.ATTEMPT_0,31015,NA
SEND_ANALOG_DOMICILE.IUN_QEXM-NJKZ-QMNR-202307-G-1.RECINDEX_0.ATTEMPT_1,34123,GERMANIA
SEND_ANALOG_DOMICILE.IUN_UKMP-URDE-MYKL-202307-R-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_DNYV-KTZX-XTRW-202307-E-1.RECINDEX_0.ATTEMPT_0,20016,NA
SEND_ANALOG_DOMICILE.IUN_DNYV-KTZX-XTRW-202307-E-1.RECINDEX_0.ATTEMPT_1,20016,NA
SEND_ANALOG_DOMICILE.IUN_HXPV-HUGK-TYZD-202307-P-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_UNYJ-RYRX-JALH-202307-L-1.RECINDEX_0.ATTEMPT_0,80014,NA
SEND_ANALOG_DOMICILE.IUN_ARPQ-GTMV-WZGH-202307-A-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_RZQZ-ZYUP-TYVM-202307-E-1.RECINDEX_0.ATTEMPT_0,47838,NA
SEND_ANALOG_DOMICILE.IUN_AQDV-MGXP-LGUG-202307-Y-1.RECINDEX_0.ATTEMPT_0,47843,NA
SEND_ANALOG_DOMICILE.IUN_YKDL-NRUK-LMAQ-202307-J-1.RECINDEX_0.ATTEMPT_0,35028,NA
SEND_ANALOG_DOMICILE.IUN_VKPU-LJTY-VPTG-202307-V-1.RECINDEX_0.ATTEMPT_0,20812,NA
SEND_ANALOG_DOMICILE.IUN_QYKQ-ARQE-KHDR-202307-A-1.RECINDEX_0.ATTEMPT_0,47814,NA
SEND_ANALOG_DOMICILE.IUN_EUYW-TELQ-ZGTZ-202307-G-1.RECINDEX_0.ATTEMPT_0,80133,NA
SEND_ANALOG_DOMICILE.IUN_TJNV-QMLM-WTLZ-202307-X-1.RECINDEX_0.ATTEMPT_0,55100,NA
SEND_ANALOG_DOMICILE.IUN_TJNV-QMLM-WTLZ-202307-X-1.RECINDEX_0.ATTEMPT_1,55100,NA
SEND_ANALOG_DOMICILE.IUN_KHRL-RALD-LEHX-202307-J-1.RECINDEX_0.ATTEMPT_0,46020,NA
SEND_ANALOG_DOMICILE.IUN_KHRL-RALD-LEHX-202307-J-1.RECINDEX_0.ATTEMPT_1,46025,NA
SEND_ANALOG_DOMICILE.IUN_YUEW-PAMQ-GRGX-202307-A-1.RECINDEX_0.ATTEMPT_0,20051,NA
SEND_ANALOG_DOMICILE.IUN_GNGT-YXMP-MTPA-202307-Y-1.RECINDEX_0.ATTEMPT_0,41043,NA
SEND_ANALOG_DOMICILE.IUN_LYAG-XTKY-TQHV-202307-Q-1.RECINDEX_0.ATTEMPT_0,35046,NA
SEND_ANALOG_DOMICILE.IUN_MJMR-TQDH-UWUR-202307-H-1.RECINDEX_0.ATTEMPT_0,26866,NA
SEND_ANALOG_DOMICILE.IUN_LKLG-PMZX-QUWU-202307-Y-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_GUXR-ZMTZ-ZYTY-202307-Z-1.RECINDEX_0.ATTEMPT_0,47838,NA
SEND_ANALOG_DOMICILE.IUN_GEQP-DTWQ-YJWP-202307-E-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_NPLW-JAVJ-ZVJD-202307-T-1.RECINDEX_0.ATTEMPT_0,20823,NA
SEND_ANALOG_DOMICILE.IUN_NPLW-JAVJ-ZVJD-202307-T-1.RECINDEX_0.ATTEMPT_1,68200,FRANCIA
SEND_ANALOG_DOMICILE.IUN_PALY-PNLJ-KQNM-202307-K-1.RECINDEX_0.ATTEMPT_0,20831,NA
SEND_ANALOG_DOMICILE.IUN_XMGN-RXQR-VDUM-202307-T-1.RECINDEX_0.ATTEMPT_0,55054,NA
SEND_ANALOG_DOMICILE.IUN_PJDK-QZEV-EJQL-202307-A-1.RECINDEX_0.ATTEMPT_0,80016,NA
SEND_ANALOG_DOMICILE.IUN_ZPND-QHEQ-XQXH-202307-E-1.RECINDEX_0.ATTEMPT_0,20017,NA
SEND_ANALOG_DOMICILE.IUN_ZPND-QHEQ-XQXH-202307-E-1.RECINDEX_0.ATTEMPT_1,20014,NA
SEND_ANALOG_DOMICILE.IUN_DHRT-HURT-XKUJ-202307-D-1.RECINDEX_0.ATTEMPT_0,46029,NA
SEND_ANALOG_DOMICILE.IUN_JWGX-EMEY-RMKN-202307-R-1.RECINDEX_0.ATTEMPT_0,31046,NA
SEND_ANALOG_DOMICILE.IUN_ZHMD-KTLQ-GRQZ-202307-A-1.RECINDEX_0.ATTEMPT_0,35040,NA
SEND_ANALOG_DOMICILE.IUN_QXLR-MARD-GWXY-202307-M-1.RECINDEX_0.ATTEMPT_0,61023,NA
SEND_ANALOG_DOMICILE.IUN_RDZU-KRAD-EGUH-202307-U-1.RECINDEX_0.ATTEMPT_0,80040,NA
SEND_ANALOG_DOMICILE.IUN_VKTZ-QXVK-LVJX-202307-R-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_EXWA-PGHT-YQYG-202307-D-1.RECINDEX_0.ATTEMPT_0,84018,NA
SEND_ANALOG_DOMICILE.IUN_WNVR-ZRPU-KRVM-202307-U-1.RECINDEX_0.ATTEMPT_0,20094,NA
SEND_ANALOG_DOMICILE.IUN_PHUN-HRAE-MKRW-202307-G-1.RECINDEX_0.ATTEMPT_0,31040,NA
SEND_ANALOG_DOMICILE.IUN_VTPQ-WAJN-AMUW-202307-G-1.RECINDEX_0.ATTEMPT_0,20831,NA
SEND_ANALOG_DOMICILE.IUN_EMKL-MAKJ-XVTY-202307-Q-1.RECINDEX_0.ATTEMPT_0,20060,NA
SEND_ANALOG_DOMICILE.IUN_JMTX-ZVYV-QGVD-202307-K-1.RECINDEX_0.ATTEMPT_0,25081,NA
SEND_ANALOG_DOMICILE.IUN_JMTX-ZVYV-QGVD-202307-K-1.RECINDEX_0.ATTEMPT_1,25081,NA
SEND_ANALOG_DOMICILE.IUN_KWRL-LAUQ-YDRU-202307-H-1.RECINDEX_0.ATTEMPT_0,53037,ITALIA
SEND_ANALOG_DOMICILE.IUN_LRAQ-ZGXQ-KAUG-202307-N-1.RECINDEX_0.ATTEMPT_0,41013,NA
SEND_ANALOG_DOMICILE.IUN_WDNX-JKGH-JAJE-202307-Z-1.RECINDEX_0.ATTEMPT_0,20026,NA
SEND_ANALOG_DOMICILE.IUN_ZNUQ-UAJW-UZUG-202307-H-1.RECINDEX_0.ATTEMPT_0,47923,NA
SEND_ANALOG_DOMICILE.IUN_UYZX-RHGK-DRUY-202307-H-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_NMWM-PTXT-DVHU-202307-U-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_GLJL-KYQY-UAHM-202307-L-1.RECINDEX_0.ATTEMPT_0,47923,NA
SEND_ANALOG_DOMICILE.IUN_YAWL-JMNU-QWNV-202307-U-1.RECINDEX_0.ATTEMPT_0,47822,NA
SEND_ANALOG_DOMICILE.IUN_YAWL-JMNU-QWNV-202307-U-1.RECINDEX_0.ATTEMPT_1,6032,SVIZZERA
SEND_ANALOG_DOMICILE.IUN_XWKT-PDMW-XAZV-202307-H-1.RECINDEX_0.ATTEMPT_0,81055,NA
SEND_ANALOG_DOMICILE.IUN_PURG-GLRA-JKPL-202307-V-1.RECINDEX_0.ATTEMPT_0,30174,NA
SEND_ANALOG_DOMICILE.IUN_ULXM-AWJZ-AEHE-202307-A-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_VHTZ-MZXP-LVWP-202307-Z-1.RECINDEX_0.ATTEMPT_0,25070,NA
SEND_ANALOG_DOMICILE.IUN_XPVG-NQGW-KJQA-202307-R-1.RECINDEX_0.ATTEMPT_0,42123,NA
SEND_ANALOG_DOMICILE.IUN_XDJY-KDER-VMJT-202307-N-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_GTGT-KYWA-XUKG-202307-Y-1.RECINDEX_0.ATTEMPT_0,71121,NA
SEND_ANALOG_DOMICILE.IUN_MUTZ-XVHE-ZVND-202307-E-1.RECINDEX_0.ATTEMPT_0,35044,NA
SEND_ANALOG_DOMICILE.IUN_EGVN-MWQX-PQGQ-202307-E-1.RECINDEX_0.ATTEMPT_0,16149,NA
SEND_ANALOG_DOMICILE.IUN_EGVN-MWQX-PQGQ-202307-E-1.RECINDEX_0.ATTEMPT_1,16151,NA
SEND_ANALOG_DOMICILE.IUN_ZJZM-HWHK-RZEA-202307-A-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_WLUZ-MNJP-PNZP-202307-E-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_EJEL-MAQD-VZKX-202307-Z-1.RECINDEX_0.ATTEMPT_0,42020,NA
SEND_ANALOG_DOMICILE.IUN_ZQJT-XLXT-DEJW-202307-R-1.RECINDEX_0.ATTEMPT_0,85051,NA
SEND_ANALOG_DOMICILE.IUN_VJRK-PRAJ-YJLM-202307-N-1.RECINDEX_0.ATTEMPT_0,95016,NA
SEND_ANALOG_DOMICILE.IUN_UZVD-ZPWH-UEDN-202307-P-1.RECINDEX_0.ATTEMPT_0,26041,NA
SEND_ANALOG_DOMICILE.IUN_AYKY-LZAM-GJAE-202307-R-1.RECINDEX_0.ATTEMPT_0,47838,NA
SEND_ANALOG_DOMICILE.IUN_WGKV-LWYK-WGMQ-202307-Q-1.RECINDEX_0.ATTEMPT_0,52045,NA
SEND_ANALOG_DOMICILE.IUN_QGDU-VLAH-LJLT-202307-T-1.RECINDEX_0.ATTEMPT_0,20029,NA
SEND_ANALOG_DOMICILE.IUN_DQLD-KEXZ-AEWT-202307-D-1.RECINDEX_0.ATTEMPT_0,20147,NA
SEND_ANALOG_DOMICILE.IUN_XVWR-YKQR-KPEH-202307-V-1.RECINDEX_0.ATTEMPT_0,20161,NA
SEND_ANALOG_DOMICILE.IUN_WDWA-HPTX-RVEP-202307-E-1.RECINDEX_0.ATTEMPT_0,20831,NA
SEND_ANALOG_DOMICILE.IUN_YGKQ-GMTM-GTHL-202307-G-1.RECINDEX_0.ATTEMPT_0,80040,NA
SEND_ANALOG_DOMICILE.IUN_YGKQ-GMTM-GTHL-202307-G-1.RECINDEX_0.ATTEMPT_1,80056,NA
SEND_ANALOG_DOMICILE.IUN_ZVZU-NRMD-GMVW-202307-J-1.RECINDEX_0.ATTEMPT_0,47922,NA
SEND_ANALOG_DOMICILE.IUN_AHRW-KYWJ-KGHG-202307-Z-1.RECINDEX_0.ATTEMPT_0,72014,NA
SEND_ANALOG_DOMICILE.IUN_AGKG-AQDV-ZUDN-202307-M-1.RECINDEX_0.ATTEMPT_0,42124,NA
SEND_ANALOG_DOMICILE.IUN_JPJH-DGEM-EGEP-202307-D-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_PTAM-QZTZ-TWEV-202307-J-1.RECINDEX_0.ATTEMPT_0,64028,NA
SEND_ANALOG_DOMICILE.IUN_JGLE-VGML-NUNE-202307-P-1.RECINDEX_0.ATTEMPT_0,96010,NA
SEND_ANALOG_DOMICILE.IUN_KVAK-LTGQ-HGYV-202307-L-1.RECINDEX_0.ATTEMPT_0,23815,NA
SEND_ANALOG_DOMICILE.IUN_YMQT-LDLV-XHJT-202307-J-1.RECINDEX_0.ATTEMPT_0,80014,NA
SEND_ANALOG_DOMICILE.IUN_KZQP-ZHPM-GVAN-202307-A-1.RECINDEX_0.ATTEMPT_0,81028,NA
SEND_ANALOG_DOMICILE.IUN_MWJX-ZALQ-TLMH-202307-D-1.RECINDEX_0.ATTEMPT_0,80078,NA
SEND_ANALOG_DOMICILE.IUN_PRQM-MHWP-MRAZ-202307-H-1.RECINDEX_0.ATTEMPT_0,80053,NA
SEND_ANALOG_DOMICILE.IUN_LDLQ-QWLP-HTRG-202307-M-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_HDTE-PKLU-MUKX-202307-M-1.RECINDEX_0.ATTEMPT_0,47924,NA
SEND_ANALOG_DOMICILE.IUN_TLZU-JGKX-HWZE-202307-Q-1.RECINDEX_0.ATTEMPT_0,47922,NA
SEND_ANALOG_DOMICILE.IUN_LQHE-AZYZ-RHUP-202307-K-1.RECINDEX_0.ATTEMPT_0,20072,NA
SEND_ANALOG_DOMICILE.IUN_AJEQ-TDLR-YNLD-202307-R-1.RECINDEX_0.ATTEMPT_0,37030,NA
SEND_ANALOG_DOMICILE.IUN_ZRWG-RUHA-QNRW-202307-U-1.RECINDEX_0.ATTEMPT_0,41012,NA
SEND_ANALOG_DOMICILE.IUN_KHTJ-TGYJ-UQVG-202309-Y-1.RECINDEX_0.ATTEMPT_0,44,NA
SEND_ANALOG_DOMICILE.IUN_DGMW-WXUN-JPDY-202307-H-1.RECINDEX_0.ATTEMPT_0,20096,NA
SEND_ANALOG_DOMICILE.IUN_WMLN-JYNM-PDVH-202307-W-1.RECINDEX_0.ATTEMPT_0,47923,NA
SEND_ANALOG_DOMICILE.IUN_HEMX-EVYX-ULDP-202307-D-1.RECINDEX_0.ATTEMPT_0,80070,NA
SEND_ANALOG_DOMICILE.IUN_VLEZ-MZAE-KPLU-202307-V-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_XNWQ-KJZH-YJGE-202307-D-1.RECINDEX_0.ATTEMPT_0,47921,NA
SEND_ANALOG_DOMICILE.IUN_JZPE-VTQH-KPET-202307-W-1.RECINDEX_0.ATTEMPT_0,13036,NA
SEND_ANALOG_DOMICILE.IUN_JZPE-VTQH-KPET-202307-W-1.RECINDEX_0.ATTEMPT_1,13036,NA
SEND_ANALOG_DOMICILE.IUN_JZGW-NMKR-NANL-202307-N-1.RECINDEX_0.ATTEMPT_0,47822,NA
SEND_ANALOG_DOMICILE.IUN_RGUP-NDRW-XWYM-202307-E-1.RECINDEX_0.ATTEMPT_0,20123,NA
SEND_ANALOG_DOMICILE.IUN_AKPZ-KMYT-RERH-202307-W-1.RECINDEX_0.ATTEMPT_0,20831,NA
SEND_ANALOG_DOMICILE.IUN_JDAV-WRAQ-KZNV-202307-V-1.RECINDEX_0.ATTEMPT_0,61022,NA
SEND_ANALOG_DOMICILE.IUN_VWHZ-ATNU-NJPE-202307-E-1.RECINDEX_0.ATTEMPT_0,74023,NA
SEND_ANALOG_DOMICILE.IUN_YDNT-QZGH-KAZH-202307-T-1.RECINDEX_0.ATTEMPT_0,132,NA
SEND_ANALOG_DOMICILE.IUN_NGZH-JYTL-EZMJ-202307-Y-1.RECINDEX_0.ATTEMPT_0,20157,NA
SEND_ANALOG_DOMICILE.IUN_DXAR-WQNY-YEVH-202307-N-1.RECINDEX_0.ATTEMPT_0,9072,NA
SEND_ANALOG_DOMICILE.IUN_QVKP-KVTP-VQKQ-202307-V-1.RECINDEX_0.ATTEMPT_0,13900,NA
SEND_ANALOG_DOMICILE.IUN_KRUG-QXQR-ZLUE-202307-U-1.RECINDEX_0.ATTEMPT_0,20147,NA
SEND_ANALOG_DOMICILE.IUN_RZMH-XARE-PQLZ-202307-L-1.RECINDEX_0.ATTEMPT_0,47923,NA
SEND_ANALOG_DOMICILE.IUN_TZJA-NVKL-UXJM-202307-H-1.RECINDEX_0.ATTEMPT_0,20812,NA
SEND_ANALOG_DOMICILE.IUN_ZNAW-KXMP-ATNJ-202307-Y-1.RECINDEX_0.ATTEMPT_0,96017,NA
SEND_ANALOG_DOMICILE.IUN_UZGY-NKUR-HPMY-202307-D-1.RECINDEX_0.ATTEMPT_0,70032,NA
SEND_ANALOG_DOMICILE.IUN_RYWE-GZAG-XETD-202307-R-1.RECINDEX_0.ATTEMPT_0,47814,NA
SEND_ANALOG_DOMICILE.IUN_VQWJ-DRTL-TAVA-202307-U-1.RECINDEX_0.ATTEMPT_0,12100,NA
SEND_ANALOG_DOMICILE.IUN_VQWJ-DRTL-TAVA-202307-U-1.RECINDEX_0.ATTEMPT_1,48125,NA
