mappedSequence,mappedAttachments,category,action,description
RECAG010->RECAG011A->RECAG012->RECAG011B,ARCAD,ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECAG010->RECAG011A->RECAG012->RECAG011B->RECAG008A,ARCAD,ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECAG010->RECAG011A->RECAG011B->RECAG012->RECAG008A,ARCAD 23L,REDRIVE_RECAG012,SEND,Redrive con script RECAG012
RECAG010->RECAG011A->RECAG011B->RECAG012,ARCAD 23L,REDRIVE_RECAG012,SEND,Redrive con script RECAG012
RECAG003D,"",ASSENZA_DEMAT_RECAPITO,CONSOLIDATORE/RECAPITISTA,Assenza demat recapito
RECAG010->RECAG011A->RECAG011B->RECAG012->RECAG008A,23L ARCAD,REDRIVE_RECAG012,SEND,Redrive con script RECAG012
RECAG010->RECAG011A->RECAG011B->RECAG012,23L ARCAD,REDRIVE_RECAG012,SEND,Redrive con script RECAG012
RECAG002A,"",ASSENZA_DEMAT_RECAPITO,CONSOLIDATORE/RECAPITISTA,Assenza demat recapito
RECAG001A,"",ASSENZA_DEMAT_RECAPITO,CONSOLIDATORE/RECAPITISTA,Assenza demat recapito
RECAG010->RECAG011A->RECAG011B->RECAG011B,23L ARCAD,ASSENZA_RECAG012,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012
RECAG010->RECAG011A->RECAG011B->RECAG012,ARCAD,ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECAG010->RECAG011A->RECAG011B,ARCAD,ASSENZA_RECAG012_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012 e il RECAG011B con la dematerilizzazione 23L
RECRI001->RECRI002->RECRI003A,"",BLOCCO_INTERNAZIONALE,CONSOLIDATORE/RECAPITISTA,Blocco internazionale
RECAG013,"",NON_RENDICONTABILE,SEND,Furto o non rendicontabile
RECAG010->RECAG011A->RECAG012,"",ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECAG010->RECAG011A,"",ASSENZA_RECAG012_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012 e il RECAG011B con la dematerilizzazione 23L
RECAG010->RECAG011A->RECAG011B->RECAG008A,ARCAD,ASSENZA_RECAG012_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012 e il RECAG011B con la dematerilizzazione 23L
RECAG010->RECAG008A->RECAG008B,23L,ASSENZA_RECAG012,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012
RECAG010->RECAG011A->RECAG012->RECAG011B->RECAG011B->RECAG008A,23L ARCAD,REDRIVE_RECAG012,SEND,Redrive con script RECAG012
RECAG010->RECAG011A->RECAG005A,"",ASSENZA_RECAG012_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012 e il RECAG011B con la dematerilizzazione 23L
RECAG010->RECAG011A->RECAG011B,23L,ASSENZA_RECAG012,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012
RECAG011A->RECAG011B->RECAG011B,ARCAD 23L,ASSENZA_RECAG012,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012
RECRI001->RECRI002->RECRI003A->RECRI003B,Plico,BLOCCO_INTERNAZIONALE,CONSOLIDATORE/RECAPITISTA,Blocco internazionale
RECAG005A->RECAG005B->RECAG005B->RECAG005C,Plico 23L,ASSENZA_RECAG012,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012
RECAG010->RECAG011A->RECAG005A->RECAG012,"",ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECAG010,"",ASSENZA_RECAG012_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG012 e il RECAG011B con la dematerilizzazione 23L
RECAG010->RECAG011A->RECAG011B->RECAG012->RECAG008A,ARCAD,ASSENZA_23L,CONSOLIDATORE/RECAPITISTA,Non è stato ricevuto l'evento RECAG011B con la dematererializzazione 23L
RECRI001->RECRI002,"",BLOCCO_INTERNAZIONALE,CONSOLIDATORE/RECAPITISTA,Blocco internazionale
RECAG003D->RECAG003E->RECAG007A->RECAG007C,23L,ASSENZA_RECAG011A_RECAG012,CONSOLIDATORE/RECAPITISTA,Non sono stati ricevuti gli eventi RECAG011A e RECAG012
P000->CON996,"",SCARTATI,DA SCARTARE,Da scartare
P000->CON016->CON080,"",ASSENZA_RECAPITO,CONSOLIDATORE/RECAPITISTA,Assenza del recapito
