zone;countryIt;countryEn
ZONE_1;ALAND ISLANDS;ISOLE ALAND
ZONE_1;ALBANIA;ALBANIA
ZONE_1;ALBANIE;ALBANIA
ZONE_1;ALEMANIA;GERMANIA
ZONE_1;ALGERIA;ALGERIA
ZONE_1;ALGERIE;ALGERIA
ZONE_1;ALGÉRIE;ALGERIA
ZONE_1;ALLEMAGNE;GERMANIA
ZONE_1;ANDORRA;ANDORRA
ZONE_1;ANDORRE;ANDORRA
ZONE_1;ANGLETERRE;GRAN BRETAGNA
ZONE_1;AUSTRIA;AUSTRIA
ZONE_1;AUSTRICHE;AUSTRIA
ZONE_1;AUTRICHE;AUSTRIA
ZONE_1;BÉLARUS;BIELORUSSIA
ZONE_1;BELGICA;BELGIO
ZONE_1;BELGIE;BELGIO
ZONE_1;BELGIO;BELGIO
ZONE_1;BELGIQUE;BELGIO
ZONE_1;BELGIUM;BELGIO
ZONE_1;BIELORUSSIA;BIELORUSSIA
ZONE_1;BOSNIA AND HERZEGOVINA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIA ED ERZEGOVINA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIA ERZEGOVINA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIA HERCEGOVINA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIA HERZEGOVINA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIA;BOSNIA ERZEGOVINA
ZONE_1;BOSNIE HERZÉGOVINE;BOSNIA ERZEGOVINA
ZONE_1;BOSNIE-HERZÉGOVINE;BOSNIA ERZEGOVINA
ZONE_1;BULGARIA;BULGARIA
ZONE_1;BULGARIE (REP);BULGARIA
ZONE_1;BULGARIE (RÉP);BULGARIA
ZONE_1;BULGARIE REP;BULGARIA
ZONE_1;BULGARIE RÉP;BULGARIA
ZONE_1;BULGARIE;BULGARIA
ZONE_1;BYELORUSSIAN SOVIET SOCIALIST REPUBLIC;BIELORUSSIA
ZONE_1;CEUTA;SPAGNA
ZONE_1;CHIPRE;CIPRO
ZONE_1;CHYPRE;CIPRO
ZONE_1;CIPRO;CIPRO
ZONE_1;CITE DU VATICAN;CITTA' DEL VATICANO
ZONE_1;CITTA DEL VATICANO;CITTA' DEL VATICANO
ZONE_1;CITTÀ DEL VATICANO;CITTA' DEL VATICANO
ZONE_1;CITTA' DEL VATICANO;CITTA' DEL VATICANO
ZONE_1;CROATIA;CROAZIA
ZONE_1;CROATIE;CROAZIA
ZONE_1;CROAZIA;CROAZIA
ZONE_1;CYPRUS;CIPRO
ZONE_1;CZECH REPUBLIC;REPUBBLICA CECA
ZONE_1;DANEMARK;DANIMARCA
ZONE_1;DANIMARCA;DANIMARCA
ZONE_1;DANMARK;DANIMARCA
ZONE_1;DENMARK;DANIMARCA
ZONE_1;DEUTSCHLAND;GERMANIA
ZONE_1;DINAMARCA;DANIMARCA
ZONE_1;EGIPTO;EGITTO
ZONE_1;EGITTO;EGITTO
ZONE_1;EGYPT;EGITTO
ZONE_1;EGYPTE;EGITTO
ZONE_1;EIRE;IRLANDA
ZONE_1;ELLAS;GRECIA
ZONE_1;ENGLAND;GRAN BRETAGNA
ZONE_1;ESPAGNE;SPAGNA
ZONE_1;ESPANA;SPAGNA
ZONE_1;ESTONIA;ESTONIA
ZONE_1;ESTONIE;ESTONIA
ZONE_1;FAR OER;ISOLE FAROE
ZONE_1;FAROE ISLANDS;ISOLE FAROE
ZONE_1;FAROE;ISOLE FAROE
ZONE_1;FEDERATION DE RUSSIE;FEDERAZIONE RUSSA
ZONE_1;FEDERAZIONE RUSSA;FEDERAZIONE RUSSA
ZONE_1;FEROE;ISOLE FAROE
ZONE_1;FÉROÉ;ISOLE FAROE
ZONE_1;FINLAND;FINLANDIA
ZONE_1;FINLANDE;FINLANDIA
ZONE_1;FINLANDIA;FINLANDIA
ZONE_1;FRANCE;FRANCIA
ZONE_1;FRANCIA;FRANCIA
ZONE_1;GERMANIA;GERMANIA
ZONE_1;GERMANY;GERMANIA
ZONE_1;GIBILTERRA;GIBILTERRA
ZONE_1;GIBRALTAR;GIBILTERRA
ZONE_1;GIORDANIA;GIORDANIA
ZONE_1;GOZO;MALTA
ZONE_1;GRAN BRETAGNA;GRAN BRETAGNA
ZONE_1;GRAN BRETANA;GRAN BRETAGNA
ZONE_1;GRANDE BRETAGNE;GRAN BRETAGNA
ZONE_1;GRANDE-BRETAGNE;GRAN BRETAGNA
ZONE_1;GREAT BRITAIN;GRAN BRETAGNA
ZONE_1;GRECE;GRECIA
ZONE_1;GRÈCE;GRECIA
ZONE_1;GRECIA;GRECIA
ZONE_1;GREECE;GRECIA
ZONE_1;GUERNESEY;GUERNESEY
ZONE_1;GUERNSEY;GUERNESEY
ZONE_1;HISPANIA;SPAGNA
ZONE_1;HOLLAND;OLANDA
ZONE_1;HOLY SEE (VATICAN CITY STATE);CITTA' DEL VATICANO
ZONE_1;HOLY SEE VATICAN CITY STATE;CITTA' DEL VATICANO
ZONE_1;HONGRIE;UNGHERIA
ZONE_1;HUNGARY;UNGHERIA
ZONE_1;IBERIA;SPAGNA
ZONE_1;ICELAND;ISLANDA
ZONE_1;ILES FEROE;ISOLE FAROE
ZONE_1;INGHILTERRA;GRAN BRETAGNA
ZONE_1;INGLATERRA;GRAN BRETAGNA
ZONE_1;IRELAND;IRLANDA
ZONE_1;IRISH REPUBLIC;IRLANDA
ZONE_1;IRLANDA;IRLANDA
ZONE_1;IRLANDE;IRLANDA
ZONE_1;ISLANDA;ISLANDA
ZONE_1;ISLANDE;ISLANDA
ZONE_1;ISLANDIA;ISLANDA
ZONE_1;ISLAS FEROE;ISOLE FAROE
ZONE_1;ISLE OF MAN;ISOLA DI MAN
ZONE_1;ISOLA DI MAN;ISOLA DI MAN
