CAP;RS_Recapitista;RS_Lotto;RS_Plico;RS_Foglio;RS_20;RS_dem;RS_21_50;RS_51_100;RS_101_250;RS_251_350;RS_351_1000 ;RS_1001_2000;AR_Recapitista;AR_Lotto;AR_Plico;AR_Foglio;AR_20;AR_dem;AR_21_50;AR_51_100;AR_101_250;AR_251_350;AR_351_1000;AR_1001_2000;890_Recapitista;890_Lotto;890_Plico;890_Foglio;890_20;890_dem;890_21_50;890_51_100;890_101_250;890_251_350;890_351_1000;890_1001_2000
00010;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00012;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00013;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00015;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00017;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00018;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00019;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00020;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00021;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00022;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00023;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00024;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00025;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00026;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00027;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00028;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00029;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00030;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00031;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00032;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00033;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00034;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00035;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00036;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00037;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00038;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00039;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00040;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00041;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00042;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00043;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
00044;Poste ;23;0,09;0,03;2,70;0,02;3,35;3,70;4,08;4,39;5,07;5,88;Poste ;28;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;9;0,27;0,03;7,05;0,13;8,51;8,51;9,21;9,21;10,12;10,12
