CAP;RS_Recapitista;RS_Lotto;RS_Plico;RS_Foglio;RS_20;RS_dem;RS_21_50;RS_51_100;RS_101_250;RS_251_350;RS_351_1000 ;RS_1001_2000;AR_Recapitista;AR_Lotto;AR_Plico;AR_Foglio;AR_20;AR_dem;AR_21_50;AR_51_100;AR_101_250;AR_251_350;AR_351_1000;AR_1001_2000;890_Recapitista;890_Lotto;890_Plico;890_Foglio;890_20;890_dem;890_21_50;890_51_100;890_101_250;890_251_350;890_351_1000;890_1001_2000
10010;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10011;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10012;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10013;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10014;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10015;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10016;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10017;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10018;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10019;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10020;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10022;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
10023;Poste ;21;0,09;0,03;2,9;0,02;3,46;3,81;4,21;4,52;5,22;6,06;Poste ;26;0,27;0,03;3,99;0,07;4,55;4,9;5,3;5,61;6,31;7,15;Poste ;1;0,27;0,03;7,89;0,13;8,83;8,83;9,56;9,56;10,51;10,51
