geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00010,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00010,AR,Poste,0,3,440,511,548,589,622,696,783
00010,RS,Poste,0,3,302,372,409,451,483,557,645
00012,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00012,AR,Poste,0,3,440,511,548,589,622,696,783
00012,RS,Poste,0,3,302,372,409,451,483,557,645
00013,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00013,AR,Poste,0,3,440,511,548,589,622,696,783
00013,RS,Poste,0,3,302,372,409,451,483,557,645
00015,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00015,AR,Poste,0,3,440,511,548,589,622,696,783
00015,RS,Poste,0,3,302,372,409,451,483,557,645
00017,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00017,AR,Poste,0,3,440,511,548,589,622,696,783
00017,RS,Poste,0,3,302,372,409,451,483,557,645
00018,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00018,AR,Poste,0,3,440,511,548,589,622,696,783
00018,RS,Poste,0,3,302,372,409,451,483,557,645
00019,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00019,AR,Poste,0,3,440,511,548,589,622,696,783
00019,RS,Poste,0,3,302,372,409,451,483,557,645
00020,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00020,AR,Poste,0,3,440,511,548,589,622,696,783
00020,RS,Poste,0,3,302,372,409,451,483,557,645
00021,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00021,AR,Poste,0,3,440,511,548,589,622,696,783
00021,RS,Poste,0,3,302,372,409,451,483,557,645
00022,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00022,AR,Poste,0,3,440,511,548,589,622,696,783
00022,RS,Poste,0,3,302,372,409,451,483,557,645
00023,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00023,AR,Poste,0,3,440,511,548,589,622,696,783
00023,RS,Poste,0,3,302,372,409,451,483,557,645
00024,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00024,AR,Poste,0,3,440,511,548,589,622,696,783
00024,RS,Poste,0,3,302,372,409,451,483,557,645
00025,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00025,AR,Poste,0,3,440,511,548,589,622,696,783
00025,RS,Poste,0,3,302,372,409,451,483,557,645
00026,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00026,AR,Poste,0,3,440,511,548,589,622,696,783
00026,RS,Poste,0,3,302,372,409,451,483,557,645
00027,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00027,AR,Poste,0,3,440,511,548,589,622,696,783
