CAP,Regione,Provincia,RS,RS_AREA,RS_lotto,RS_Recapitista,DEF_RS_Costo_Foglio_aggiuntivo,DEF_RS_20gr,DEF_RS_21-50gr,DEF_RS_51-100gr,DEF_RS_101-250gr,DEF_RS_251-350gr,DEF_RS_351-1000gr,DEF_RS_1001-2000gr,AR,AR_AREA,AR_lotto,AR_Recapitista,DEF_AR_Costo_Foglio_aggiuntivo,DEF_AR_20gr,DEF_AR_21-50gr,DEF_AR_51-100gr,DEF_AR_101-250gr,DEF_AR_251-350gr,DEF_AR_351-1000gr,DEF_AR_1001-2000gr,890,890_lotto,890_Recapista,DEF_890_Costo_Foglio_aggiuntivo,DEF_890_20gr,DEF_890_21-50gr,DEF_890_51-100gr,DEF_890_101-250gr,DEF_890_251-350gr,DEF_890_351-1000gr,DEF_890_1001-2000gr,AR+Area,RS+Area,Grado Copertura
00010,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00012,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00013,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00015,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00017,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00018,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00019,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00020,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00021,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00022,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
